Datekey;ProviderId;Hour;WindSpeed;WindDirection;Temperature;Pressure;Humidity;PowerWOAvailability
20200101;3;00:00;1.00;309.00;6.00;NULL;NULL;3.028
20200101;3;01:00;1.00;236.00;6.00;NULL;NULL;6.303
20200101;3;02:00;2.00;233.00;5.00;NULL;NULL;7.476
20200101;3;03:00;2.00;256.00;5.00;NULL;NULL;6.590
20200101;3;04:00;2.00;270.00;5.00;NULL;NULL;6.837
20200101;3;05:00;2.00;276.00;5.00;NULL;NULL;5.948
20200101;3;06:00;2.00;283.00;6.00;NULL;NULL;4.704
20200101;3;07:00;3.00;306.00;6.00;NULL;NULL;4.437
20200101;3;08:00;4.00;334.00;6.00;NULL;NULL;4.551
20200101;3;09:00;5.00;352.00;6.00;NULL;NULL;5.705
20200101;3;10:00;5.00;4.00;6.00;NULL;NULL;11.048
20200101;3;11:00;5.00;10.00;6.00;NULL;NULL;17.299
20200101;3;12:00;4.00;8.00;6.00;NULL;NULL;19.870
20200101;3;13:00;4.00;7.00;6.00;NULL;NULL;23.475
20200101;3;14:00;7.00;20.00;6.00;NULL;NULL;31.256
20200101;3;15:00;9.00;26.00;7.00;NULL;NULL;41.858
20200101;3;16:00;10.00;24.00;7.00;NULL;NULL;50.174
20200101;3;17:00;11.00;21.00;7.00;NULL;NULL;53.197
20200101;3;18:00;12.00;19.00;7.00;NULL;NULL;53.763
20200101;3;19:00;12.00;19.00;6.00;NULL;NULL;53.898
20200101;3;20:00;12.00;19.00;6.00;NULL;NULL;54.063
20200101;3;21:00;12.00;19.00;6.00;NULL;NULL;54.174
20200101;3;22:00;12.00;20.00;6.00;NULL;NULL;54.168
20200101;3;23:00;11.00;21.00;5.00;NULL;NULL;54.073
20200102;3;00:00;11.00;19.00;5.00;NULL;NULL;53.895
20200102;3;01:00;11.00;20.00;4.00;NULL;NULL;53.791
20200102;3;02:00;11.00;21.00;4.00;NULL;NULL;53.615
20200102;3;03:00;11.00;23.00;4.00;NULL;NULL;53.607
20200102;3;04:00;10.00;26.00;4.00;NULL;NULL;53.600
20200102;3;05:00;10.00;28.00;4.00;NULL;NULL;52.941
20200102;3;06:00;10.00;31.00;5.00;NULL;NULL;51.926
20200102;3;07:00;10.00;31.00;5.00;NULL;NULL;52.039
20200102;3;08:00;11.00;30.00;5.00;NULL;NULL;52.704
20200102;3;09:00;11.00;30.00;5.00;NULL;NULL;52.106
20200102;3;10:00;10.00;31.00;6.00;NULL;NULL;51.448
20200102;3;11:00;10.00;30.00;6.00;NULL;NULL;50.683
20200102;3;12:00;11.00;28.00;6.00;NULL;NULL;50.317
20200102;3;13:00;11.00;29.00;6.00;NULL;NULL;50.930
20200102;3;14:00;12.00;30.00;7.00;NULL;NULL;51.540
20200102;3;15:00;12.00;31.00;7.00;NULL;NULL;52.558
20200102;3;16:00;12.00;30.00;6.00;NULL;NULL;53.266
