iter	RMSE
0	18.39184862
1	17.12695456
2	16.02340336
3	15.01066356
4	14.09438676
5	13.20952656
6	12.49705526
7	11.87078058
8	11.23849485
9	10.67153566
10	10.1999534
11	9.752051171
12	9.346081451
13	8.974545411
14	8.627698117
15	8.296219664
16	8.02016656
17	7.75520727
18	7.508110495
19	7.287871384
20	7.074022724
21	6.87878372
22	6.694302521
23	6.512474623
24	6.360252492
25	6.214352696
26	6.068359703
27	5.923585064
28	5.793271309
29	5.665079387
30	5.558260204
31	5.460738299
32	5.36065295
33	5.257197227
34	5.163766146
35	5.075604325
36	4.996838746
37	4.903816466
38	4.814028774
39	4.740365107
40	4.674715937
41	4.604944806
42	4.537907717
43	4.467502677
44	4.397540838
45	4.321481194
46	4.256555222
47	4.198175678
48	4.13946421
49	4.091316948
50	4.037667482
51	3.985500324
52	3.933582533
53	3.884129247
54	3.8359619
55	3.783610462
56	3.729273731
57	3.680236909
58	3.627801686
59	3.586426468
60	3.544611245
61	3.505680023
62	3.470139662
63	3.423289532
64	3.391225954
65	3.349765402
66	3.313984092
67	3.281803293
68	3.255954237
69	3.211222153
70	3.176908249
71	3.149289409
72	3.1234876
73	3.103064146
74	3.077789189
75	3.051877498
76	3.014993587
77	2.984997566
78	2.95433417
79	2.92551262
80	2.899687408
81	2.880743152
82	2.86120752
83	2.837969644
84	2.813090232
85	2.788288013
86	2.761341573
87	2.729483604
88	2.703483813
89	2.683687552
90	2.651128105
91	2.632856125
92	2.604149817
93	2.577565469
94	2.555469978
95	2.529884991
96	2.506655797
97	2.48281392
98	2.460251495
99	2.434652002
100	2.411737823
101	2.38536446
102	2.365350016
103	2.348011007
104	2.326464255
105	2.303182382
106	2.286782601
107	2.268371725
108	2.24323837
109	2.219137022
110	2.197815165
111	2.176676794
112	2.156700123
113	2.144157744
114	2.138720137
115	2.126016893
116	2.105448361
117	2.087967856
118	2.066112641
119	2.050602682
120	2.029445498
121	2.010546629
122	1.992746168
123	1.977790437
124	1.963404912
125	1.951866796
126	1.938579272
127	1.931636132
128	1.914345816
129	1.897255668
130	1.885421274
131	1.871285884
132	1.854254922
133	1.839412897
134	1.827224151
135	1.810118405
136	1.800092484
137	1.783090513
138	1.77249229
139	1.760531769
140	1.748038273
141	1.738508674
142	1.726700402
143	1.713227515
144	1.700767248
145	1.691544162
146	1.679710565
147	1.668768631
148	1.656603102
149	1.646095661
150	1.635334086
151	1.625244415
152	1.616642146
153	1.606249946
154	1.598995008
155	1.590686616
156	1.579581663
157	1.570197639
158	1.559988405
159	1.550990213
160	1.543216832
161	1.533093275
162	1.523420005
163	1.511623528
164	1.503349405
165	1.491903643
166	1.481290035
167	1.473466928
168	1.462791836
169	1.451524161
170	1.442512825
171	1.432570278
172	1.420203008
173	1.410333902
174	1.398669171
175	1.389889778
176	1.378919445
177	1.372675027
178	1.362840111
179	1.353189007
180	1.344398199
181	1.336470783
182	1.327477884
183	1.321024297
184	1.312461467
185	1.3072568
186	1.301196921
187	1.297647905
188	1.291136396
189	1.282649233
190	1.273403456
191	1.266777554
192	1.260766353
193	1.255277832
194	1.24694433
195	1.237046595
196	1.231473133
197	1.222608349
198	1.214792452
199	1.206575227
